"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"3444 MAHOGANY DRIVE","TXR1509EW","SOUTHWEST OF THE INTERSECTION OF MAHOGANY DRIVE AN","BRYAN","TX",,"77807"
"5113 INVERNESS DR","TXR1542EK","5113 INVERNESS DR","BRYAN","TX",,"77802"
"777 GRAHAM RD","TXR1578AE","777 GRAHAM RD","COLLEGE STATION","TX",,"77845"
"8.5 ACRE DEVELOPMENT SH-6","TXR1535BW","NORTHWEST INTERSECTION OF MARTIN LUTHER KING JR ST","BRYAN","TX",,"77803"
"ACADEMY CONDOMINIUMS","TXR1508FA","1326 PRAIRIE DR","BRYAN","TX",,"77803"
"ACE TOWNHOME","TXR15667I","2136 CHESTNUT OAK CIR","COLLEGE STATION","TX",,"77845-4168"
"AGGIE PARK - TEXAS A&M UNIVERSITY","TXR1543FV","800 THROCKMORTON STREET","COLLEGE STATION","TX",,"77840"
"AGRILIFE PHENOTYPING GREENHOUSE","TXR1582BA","950 AGRONOMY ROAD","COLLEGE STATION","TX",,"77845"
"ALENCO WINDOWS","TXR05U808","615 W CARSON ST","BRYAN","TX",,"77801-1102"
"ANDREWS ORTHODONTIST AND RETAIL BUILDING","TXR15193R","1098 ARRINGTON RD","COLLEGE STATION","TX",,"77845"
"ASTIN AVIATION","TXR05CE76","1770 GEORGE BUSH DR W","COLLEGE STATION","TX",,"77845-4761"
"AT HOME - COLLEGE STATION TX","TXR15591P","2301 EARL RUDDER FWY S","COLLEGE STATION","TX",,"77845-6027"
"ATKINS STREET POWER STATION","TX0027952","601 ATKINS STREET","BRYAN","TX","09","77801"
"ATOFINA CHEMICALS, INC.","TX0108863","SW OF THE MO PACIFIC RR &","BRYAN","TX","09","77801"
"AURORA GARDENS","TXR1575AS","400 AURORA CT","COLLEGE STATION","TX",,"77840"
"AUSTIN COLONY PHS. 18","TXR10F6X1","NE OF BULLINGER CREEK DR. & COLONY VILLAGE DRIVE","BRYAN","TX",,"77808"
"AUSTIN COLONY PHS. 18","TXR10F6WR","NE OF BULLINGER CREEK DRIVE & COLONY VILLAGE DRIVE","BRYAN","TX",,"77808"
"AUSTIN'S COLONY PHS. 20","TXR10F8G3","NW OF THORNBERRY DRIVE & BULLINGER CREEK DRIVE","BRYAN","TX",,"77808"
"AUSTIN'S COLONY PHS. 20","TXR10F8GB","NW OF THORNBERRY DRIVE & BULLINGER CREEK DRIVE","BRYAN","TX",,"77808"
"AUSTINS COLNY PHASE 18","TXR15651L","1000 FT WEST OF THORNBERRY DR. ON BULLINGER CREEK","BRYAN","TX",,"77803"
"AUSTINS COLONY","TXR15363O","THE INTERSECTION OF HWY. 6 AND F.M. 158","BRYAN","TX",,"77802"
"AUSTINS COLONY","TXR1528FK","THE INTERSECTION OF HWY. 6 AND F.M. 158","BRYAN","TX",,"77802"
"AUSTINS COLONY SUBDIVISION","TXR1564DR","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15812A","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1535CL","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15484T","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1515EF","3008 BLACKFOOT CT","BRYAN","TX",,"77845"
"AUSTINS COLONY SUBDIVISION","TXR1509CS","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1585AY","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR1563ET","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
"AUSTINS COLONY SUBDIVISION","TXR15333O","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808"
