"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"066-3344 BORLAUG CENTER RENOVATION ADDITION","TXR1579LK","600 JOHN KIMBROUGH BLVD","COLLEGE STATION","TX","9","77843-0001"
"1407 CONNOR STREET","TXR1539NY","1407 CONNOR STREET","BRYAN","TX","9","77808"
"2900 SPECTOR DRIVE","TXR1571JJ","2900 SPECTOR DRIVE","BRYAN","TX",,"77802"
"2901 SPECTOR DRIVE","TXR1531KC","2901 SPECTOR DRIVE","BRYAN","TX",,"77802"
"2921 SPECTOR DRIVE","TXR1587NL","2921 SPECTOR DR","BRYAN","TX",,"77802"
"3444 MAHOGANY DRIVE","TXR1509EW","SOUTHWEST OF THE INTERSECTION OF MAHOGANY DRIVE AN","BRYAN","TX",,"77807"
"3757 COOPER COURT","TXR1571QU","3757 COOPER CT","COLLEGE STATION","TX","9","77845"
"4724 CONCORDIA","TXR1587QU","4724 CONCORDIA DR","BRYAN","TX","9","77802"
"5113 INVERNESS DR","TXR1542EK","5113 INVERNESS DR","BRYAN","TX",,"77802"
"777 GRAHAM RD","TXR1578AE","777 GRAHAM RD","COLLEGE STATION","TX",,"77845"
"8.5 ACRE DEVELOPMENT SH-6","TXR1535BW","NORTHWEST INTERSECTION OF MARTIN LUTHER KING JR ST","BRYAN","TX",,"77803"
"804 GILCHRIST AVE","TXR1584QR","804 GILCHRIST AVE","COLLEGE STATION","TX","9","77840"
"ACADEMY CONDOMINIUMS","TXR1508FA","1326 PRAIRIE DR","BRYAN","TX",,"77803"
"ACADEMY CONDOS","TXR1512HZ","1326 PRAIRIE DR","BRYAN","TX",,"77803"
"ACADEMY PRESERVE - PH 1 & 2","TXR1504IX","SEC OF OSBORN LANE AND PRAIRIE DRIVE","BRYAN","TX",,"77803"
"ACADEMY PRESERVE PHS 1","TXR1589JN","SE OF OSBORN LN & FOREST GLEN CT","BRYAN","TX","9","77802"
"ACADEMY PRESERVE PHS 1","TXR1583NX","SE OF OSBORN LN & FOREST GLEN CT","BRYAN","TX","9","77802"
"ACADEMY PRESERVE PHS 1","TXR1527JO","SE OF OSBORN LN & FOREST GLEN CT","BRYAN","TX",,"77802"
"ACADEMY PRESERVE PHS 2","TXR1526JO","EAST OF PRAIRIE DR & OSBORN LN","BRYAN","TX",,"77802"
"ACADEMY PRESERVE PHS 2","TXR1588JN","EAST OF PRAIRIE DR & OSBORN LN","BRYAN","TX","9","77802"
"ACADEMY PRESERVE PHS 2","TXR1584NX","EAST OF PRAIRIE DR & OSBORN LN","BRYAN","TX","9","77802"
"ACE TOWNHOME","TXR15667I","2136 CHESTNUT OAK CIR","COLLEGE STATION","TX",,"77845-4168"
"AFS PARKING LOT EXPANSION","TXR1536NP","505 GEORGE BUSH DR","COLLEGE STATION","TX",,"77843"
"AGGIE ACRES WWTP","TX0132187","800 FT SE OF N DOWLING RD APPROX 600 FT SW OF WALN","COLLEGE STATION","TX","09","77845"
"AGGIE CREAMERY","TXR1546JP","SW OF THROCKMORTON ST & LEWIS ST","COLLEGE STATION","TX",,"77840"
"AGGIE CREAMERY","TXR1507OA","SW OF THROCKMORTON ST & LEWIS ST","COLLEGE STATION","TX","9","77840"
"AGGIE CREAMERY","TXR1547JP","SW OF THROCKMORTON ST & LEWIS ST","COLLEGE STATION","TX","9","77840"
"AGGIE PARK - TEXAS A&M UNIVERSITY","TXR1543FV","800 THROCKMORTON STREET","COLLEGE STATION","TX",,"77840"
"AGGIELAND OUTFITTERS","TXR1533KO","100 FAIRVIEW AVE","COLLEGE STATION","TX",,"77840"
"AGRILIFE PHENOTYPING GREENHOUSE","TXR1582BA","950 AGRONOMY ROAD","COLLEGE STATION","TX",,"77845"
"AGRIVEST SWINE FEEDLOT","TX0121240","SWISHER COUNTY","BRYAN","TX","01","00000"
"AIRGAS","TXR1506HK","5924 MATRIX DR","COLLEGE STATION","TX",,"77845"
"ALENCO WINDOWS","TXR05U808","615 W CARSON ST","BRYAN","TX",,"77801-1102"
"AMAZONCOM SERVICES LLC - PTX3","TXRNEBZ80","400 TECHNOLOGY PKWY","COLLEGE STATION","TX",,"77845"
"ANDREWS ORTHODONTIST AND RETAIL BUILDING","TXR15193R","1098 ARRINGTON RD","COLLEGE STATION","TX",,"77845"
"ANDYS FROZEN CUSTARD - COLLEGE STATION","TXR1547HZ","SITE IS LOCATED APPROXIMATELY 0.10 MILES EAST OF T","COLLEGE STATION","TX",,"77840"
