"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip","MasterExternalPermitNmbr","RegistryID","CWPCounty","CWPEPARegion","FacDerivedHuc","FacLat","FacLong","CWPTotalDesignFlowNmbr","CWPActualAverageFlowNmbr","ReceivingMs4Name","AssociatedPollutant","MsgpPermitType","CWPPermitStatusDesc","CWPPermitTypeDesc","CWPIssueDate","CWPEffectiveDate","CWPExpirationDate","CWPSNCStatusDate","CWPStateWaterBodyCode"
"ACE TOWNHOME","TXR15667I","2136 CHESTNUT OAK CIR","COLLEGE STATION","TX",,"77845-4168","TXR150000","110070364352",,"06","12070103",30.61411,-96.2849,,,,,,"Effective","General Permit Covered Facility",06/01/2018,06/01/2018,03/05/2023,09/30/2018,
"AGGIE ACRES WWTP","TX0132187","800 FT SE OF N DOWLING RD APPROX 600 FT SW OF WALN","COLLEGE STATION","TX",,"77845",,"110064633829","Brazos","06",,30.55565,-96.291099,,,,,,"Not Needed","NPDES Individual Permit",,,,09/30/2018,
"AGRIVEST SWINE FEEDLOT","TX0121240","SWISHER COUNTY","BRYAN","TX",,"00000",,"110039193271","Swisher","06",,30.666576,-96.36552,,,,,,"Terminated","NPDES Individual Permit",01/14/2000,01/14/2000,07/27/2004,09/30/2018,
"ALENCO WINDOWS","TXR05U808","615 W CARSON ST","BRYAN","TX",,"77801-1102","TXR050000","110000464284","Brazos","06","12070103",30.64457,-96.3727,,,,,,"Effective","General Permit Covered Facility",10/28/2016,11/01/2016,08/13/2021,09/30/2018,
"ANDREWS ORTHODONTIST AND RETAIL BUILDING","TXR15193R","1098 ARRINGTON RD","COLLEGE STATION","TX",,"77845","TXR150000","110070368658",,"06","12070103",30.558003,-96.265664,,,,,,"Effective","General Permit Covered Facility",08/27/2018,09/01/2018,03/05/2023,09/30/2018,
"ASTIN AVIATION","TXR05CE76","1770 GEORGE BUSH DR W","COLLEGE STATION","TX",,"77845-4761","TXR050000","110070360445",,"06","12070101",30.592877,-96.352771,,,,,,"Effective","General Permit Covered Facility",07/10/2017,08/01/2017,08/13/2021,09/30/2018,
"AT HOME - COLLEGE STATION TX","TXR15591P","2301 EARL RUDDER FWY S","COLLEGE STATION","TX",,"77845-6027","TXR150000","110070358552",,"06","12070103",30.62357,-96.29793,,,,,,"Terminated","General Permit Covered Facility",07/02/2018,08/01/2018,03/05/2023,09/30/2018,
"ATKINS STREET POWER STATION","TX0027952","601 ATKINS STREET","BRYAN","TX",,"77801",,"110001866623","Brazos","06","12070103",30.64816,-96.37165,,.385,,,,"Terminated","NPDES Individual Permit",08/28/2014,09/01/2014,05/01/2019,09/30/2018,"120701030340"
"ATOFINA CHEMICALS, INC.","TX0108863","SW OF THE MO PACIFIC RR &","BRYAN","TX",,"77801",,"110000464293","Brazos","06","12070103",30.65792,-96.37303,,,,,,"Expired","NPDES Individual Permit",06/30/2009,07/01/2009,05/01/2013,09/30/2018,"12070101"
"AUSTINS COLNY PHASE 18","TXR15651L","1000 FT WEST OF THORNBERRY DR. ON BULLINGER CREEK","BRYAN","TX",,"77803","TXR150000","110070365392",,"06","12070103",30.689092,-96.336121,,,,,,"Effective","General Permit Covered Facility",04/25/2018,05/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY","TXR15363O","THE INTERSECTION OF HWY. 6 AND F.M. 158","BRYAN","TX",,"77802","TXR150000","110070365926",,"06","12070103",30.670227,-96.333552,,,,,,"Effective","General Permit Covered Facility",06/01/2018,06/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15615N","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",05/24/2018,06/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15484T","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",11/26/2018,12/01/2018,03/04/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15333O","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",06/01/2018,06/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15812A","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",06/01/2018,06/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15904G","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",05/24/2018,06/01/2018,03/05/2023,09/30/2018,
"AUSTINS COLONY SUBDIVISION","TXR15227M","INTERSECTION OF BOONVILLE RD AND AUSTINS COLONY PK","BRYAN","TX",,"77808","TXR150000","110070365585",,"06","12070103",30.67201,-96.33327,,,,,,"Effective","General Permit Covered Facility",05/07/2018,06/01/2018,03/05/2023,09/30/2018,
